csv_path,status,rows,window_count,true_label,true_label_name,predicted_label,predicted_label_name,score,correct_if_labeled,authentic_score_mean,authentic_score_max,modified_altitude_score_max,modified_speed_score_max,modified_position_score_max,error
betatesting_data/beta_ceb_auth/A21N_3f8b85eb_RPLL_to_RPVM.csv,ok,318,12,0,authentic,0,authentic,0.9785979390144348,True,0.9317854046821594,0.9785979390144348,0.05458901822566986,0.02489509992301464,0.07198547571897507,
betatesting_data/beta_ceb_auth/A21N_3f8f694c_RPLL_to_RPVM.csv,ok,321,13,0,authentic,0,authentic,0.974418044090271,True,0.8787783980369568,0.974418044090271,0.2267037183046341,0.12095171213150024,0.37548354268074036,
betatesting_data/beta_ceb_auth/A21N_3f936b43_RPLL_to_RPVM.csv,ok,328,13,0,authentic,0,authentic,0.9904068112373352,True,0.940264105796814,0.9904068112373352,0.048265282064676285,0.025054089725017548,0.05447407439351082,
betatesting_data/beta_ceb_auth/A21N_3f97ce6c_RPLL_to_RPVM.csv,ok,293,11,0,authentic,0,authentic,0.9819419384002686,True,0.9230157732963562,0.9819419384002686,0.07497414201498032,0.03547251224517822,0.057409677654504776,
betatesting_data/beta_ceb_auth/A21N_3f9befbb_RPLL_to_RPVM.csv,ok,351,14,0,authentic,0,authentic,0.9822829365730286,True,0.920934796333313,0.9822829365730286,0.156998872756958,0.0376216284930706,0.12686008214950562,
betatesting_data/beta_ceb_auth/A321_3f9bbb4a_RPLL_to_RPVM.csv,ok,342,14,0,authentic,0,authentic,0.9722236394882202,True,0.9338387250900269,0.9722236394882202,0.052973490208387375,0.024122755974531174,0.04178604111075401,
betatesting_data/beta_ceb_modalt/modalt_A21N_3f8b85eb_RPLL_to_RPVM.csv,ok,318,12,1,modified_altitude,0,authentic,0.9785979390144348,False,0.40389299392700195,0.9785979390144348,0.9711143970489502,0.10209403932094574,0.020315997302532196,
betatesting_data/beta_ceb_modalt/modalt_A21N_3f8f694c_RPLL_to_RPVM.csv,ok,321,13,1,modified_altitude,1,modified_altitude,0.9999637007713318,True,0.2452496737241745,0.974418044090271,0.9999637007713318,0.12095171213150024,0.37548354268074036,
betatesting_data/beta_ceb_modalt/modalt_A21N_3f936b43_RPLL_to_RPVM.csv,ok,328,13,1,modified_altitude,0,authentic,0.9904068112373352,False,0.6577982306480408,0.9904068112373352,0.8763394951820374,0.23685269057750702,0.06097784265875816,
betatesting_data/beta_ceb_modalt/modalt_A21N_3f97ce6c_RPLL_to_RPVM.csv,ok,293,11,1,modified_altitude,1,modified_altitude,0.9999825358390808,True,0.3523921072483063,0.9819419384002686,0.9999825358390808,0.010467937216162682,0.021319560706615448,
betatesting_data/beta_ceb_modalt/modalt_A21N_3f9befbb_RPLL_to_RPVM.csv,ok,351,14,1,modified_altitude,0,authentic,0.9666633605957031,False,0.4483671188354492,0.9666633605957031,0.9244740009307861,0.13743099570274353,0.3973256051540375,
betatesting_data/beta_ceb_modalt/modalt_A321_3f9bbb4a_RPLL_to_RPVM.csv,ok,342,14,1,modified_altitude,1,modified_altitude,0.9999809861183167,True,0.40653204917907715,0.9722236394882202,0.9999809861183167,0.5915607810020447,0.029809029772877693,
betatesting_data/beta_ceb_modpos/modpos_A21N_3f8b85eb_RPLL_to_RPVM.csv,ok,318,12,3,modified_position,3,modified_position,0.9999153017997742,True,7.342967001022771e-05,0.00042336457408964634,0.05315455049276352,0.035492293536663055,0.9999153017997742,
betatesting_data/beta_ceb_modpos/modpos_A21N_3f8f694c_RPLL_to_RPVM.csv,ok,321,13,3,modified_position,3,modified_position,0.9994814991950989,True,0.24524971842765808,0.974418044090271,0.2267037183046341,0.12095171213150024,0.9994814991950989,
betatesting_data/beta_ceb_modpos/modpos_A21N_3f936b43_RPLL_to_RPVM.csv,ok,328,13,3,modified_position,3,modified_position,0.9998310804367065,True,0.44809383153915405,0.9904068112373352,0.01965579390525818,0.00924350880086422,0.9998310804367065,
betatesting_data/beta_ceb_modpos/modpos_A21N_3f97ce6c_RPLL_to_RPVM.csv,ok,293,11,3,modified_position,3,modified_position,0.9999725222587585,True,0.17803524434566498,0.9819419384002686,0.012498337775468826,0.005532925948500633,0.9999725222587585,
betatesting_data/beta_ceb_modpos/modpos_A21N_3f9befbb_RPLL_to_RPVM.csv,ok,351,14,3,modified_position,3,modified_position,0.9856859445571899,True,0.5301706194877625,0.9822829365730286,0.156998872756958,0.05054333433508873,0.9856859445571899,
betatesting_data/beta_ceb_modpos/modpos_A321_3f9bbb4a_RPLL_to_RPVM.csv,ok,342,14,3,modified_position,3,modified_position,0.9995474219322205,True,0.20581893622875214,0.9648127555847168,0.15319819748401642,0.08220440149307251,0.9995474219322205,
betatesting_data/beta_ceb_modspd/modspd_A21N_3f8b85eb_RPLL_to_RPVM.csv,ok,318,12,2,modified_speed,2,modified_speed,0.9989014863967896,True,0.40389299392700195,0.9785979390144348,0.27860313653945923,0.9989014863967896,0.020315997302532196,
betatesting_data/beta_ceb_modspd/modspd_A21N_3f8f694c_RPLL_to_RPVM.csv,ok,321,13,2,modified_speed,2,modified_speed,1.0,True,0.2452496737241745,0.974418044090271,0.2267037183046341,1.0,0.37548354268074036,
betatesting_data/beta_ceb_modspd/modspd_A21N_3f936b43_RPLL_to_RPVM.csv,ok,328,13,2,modified_speed,0,authentic,0.9904068112373352,False,0.6577133536338806,0.9904068112373352,0.927906334400177,0.904671847820282,0.05447407439351082,
betatesting_data/beta_ceb_modspd/modspd_A21N_3f97ce6c_RPLL_to_RPVM.csv,ok,293,11,2,modified_speed,2,modified_speed,1.0,True,0.3523921072483063,0.9819419384002686,0.028217418119311333,1.0,0.021319560706615448,
betatesting_data/beta_ceb_modspd/modspd_A21N_3f9befbb_RPLL_to_RPVM.csv,ok,351,14,2,modified_speed,2,modified_speed,1.0,True,0.2598073184490204,0.9666633605957031,0.7741463780403137,1.0,0.21819794178009033,
betatesting_data/beta_ceb_modspd/modspd_A321_3f9bbb4a_RPLL_to_RPVM.csv,ok,342,14,2,modified_speed,2,modified_speed,1.0,True,0.40653204917907715,0.9722236394882202,0.03841802105307579,1.0,0.029809029772877693,
