csv_path,window_index,start_row,end_row_exclusive,predicted_label,predicted_label_name,prob_authentic,prob_modified_altitude,prob_modified_speed,prob_modified_position
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,0,0,128,0,authentic,0.945679247379303,0.021026214584708214,0.018947312608361244,0.014347239397466183
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,1,16,144,0,authentic,0.9781748056411743,0.005003470927476883,0.005501330830156803,0.011320339515805244
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,2,32,160,3,modified_position,3.165814832506442e-11,0.05377165228128433,0.005264366511255503,0.9409640431404114
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,3,48,176,3,modified_position,4.676205262786159e-16,6.822042450949084e-07,1.1129484001060064e-08,0.9999992847442627
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,4,64,192,3,modified_position,7.696490230447723e-16,2.6229311060887994e-06,6.853201739431825e-08,0.9999972581863403
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,5,80,208,3,modified_position,7.69050541327978e-16,2.2841888949187705e-06,7.673979496303218e-08,0.999997615814209
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,6,96,224,3,modified_position,1.5040536404290037e-15,1.1217390465390054e-06,3.585261154626096e-08,0.999998927116394
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,7,112,240,3,modified_position,2.4510407741515187e-14,4.303591140342178e-06,2.0033330372370983e-07,0.9999954700469971
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,8,128,256,3,modified_position,1.7093187556029878e-14,7.744864888081793e-06,1.624739951466836e-07,0.9999921321868896
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,9,144,272,3,modified_position,4.3551354336019907e-14,0.0005613701650872827,7.0292599048116244e-06,0.9994315505027771
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,10,160,288,0,authentic,0.8312168121337891,0.10013524442911148,0.056063972413539886,0.012584078125655651
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,11,176,304,0,authentic,0.9666672945022583,0.020662615075707436,0.01063389703631401,0.0020363228395581245
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,12,192,320,0,authentic,0.9730547070503235,0.01631653681397438,0.008333354257047176,0.002295328537002206
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,13,208,336,0,authentic,0.9836505651473999,0.008901775814592838,0.0056364573538303375,0.0018111626850441098
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,14,224,352,0,authentic,0.9791709780693054,0.015846919268369675,0.0034901979379355907,0.0014918646775186062
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,15,240,368,0,authentic,0.9961462020874023,0.002658681944012642,0.0009035665425471961,0.00029153734794817865
/Users/alexbanados/Documents/ADSB/betatesting/betatesting_data/beta_dvo_ready/dvopos/modpos_dvo_3f9bbf59.csv,16,256,384,0,authentic,0.9955241680145264,0.0024069042410701513,0.0009757913649082184,0.001093212398700416
